Date,Close ,Open,Hign,Low,Volume,Percent
2013年6月5日,660.75,660.75,667,658.5,99.33K,0.04%
2013年6月4日,660.5,655.5,664.25,648,90.52K,0.72%
2013年6月3日,655.75,661.25,669,643.75,119.56K,-0.94%
2013年5月31日,662,654,665.75,652.25,97.58K,1.18%
2013年5月30日,654.25,663.75,667.25,649.5,103.45K,-1.62%
2013年5月29日,665,666,668.25,651.5,135.98K,-0.23%
2013年5月28日,666.5,659,669.75,655,85.50K,1.41%
2013年5月24日,657.25,660.5,664.75,655.5,83.48K,-0.72%
2013年5月23日,662,658,669.75,653,115.61K,0.53%
2013年5月22日,658.5,640.25,659.25,637.75,119.11K,2.89%
2013年5月21日,640,644.75,647,632.5,101.49K,-1.46%
2013年5月20日,649.5,652,660.75,642.75,88.24K,-0.50%
2013年5月17日,652.75,641.75,656,638.25,98.93K,1.75%
2013年5月16日,641.5,650.25,652,640.25,72.06K,-1.42%
2013年5月15日,650.75,652,659.75,645,78.50K,-7.92%
2013年5月14日,706.75,718,722,704.25,0.86K,-1.57%
2013年5月13日,718,694,722.5,694,1.78K,4.40%
2013年5月10日,687.75,693,699.25,672,3.81K,-0.97%
2013年5月9日,694.5,675,698,672.25,2.38K,2.89%
2013年5月8日,675,675.75,679.5,669,2.30K,-0.22%
2013年5月7日,676.5,682,683.75,674.75,4.15K,-0.33%
2013年5月6日,678.75,689,689,675.5,4.25K,-2.97%
2013年5月3日,699.5,697,705,694.75,6.15K,0.29%
2013年5月2日,697.5,682,699.25,679.25,8.68K,2.31%
2013年5月1日,681.75,679.5,686.25,671,10.24K,-0.22%
2013年4月30日,683.25,684.5,693,675.25,30.42K,-0.11%
2013年4月29日,684,649,688.75,649,93.28K,6.21%
2013年4月26日,644,645,645,638.5,78.52K,-0.19%
2013年4月25日,645.25,639.5,647,638.5,53.90K,0.90%
2013年4月24日,639.5,638.5,644.75,636,84.14K,0.16%
2013年4月23日,638.5,647.5,647.5,638,91.75K,-1.12%
2013年4月22日,645.75,649.5,649.5,640.5,66.98K,-0.96%
2013年4月19日,652,645.25,652.75,642.75,67.43K,1.16%
2013年4月18日,644.5,659,664.5,643,124.21K,-2.42%
2013年4月17日,660.5,662.75,665.25,656.5,99.18K,-0.41%
2013年4月16日,663.25,645,664,641,112.62K,2.55%
